English,Français,Deutsch,Español,Italiano,Svenska
Play Game,Nouvelle partie,Spiel starten,Nueva partida,Nuova partita,Nytt spel
Load Saved Game,Charger une partie,Spiel laden,Cargar una partida,Carica una partita,Ladda spel
Help,Aide,Hilfe,Ayuda,Aiuto,Hjälp
Quit,Quitter,Beenden,Salir,Esci,Avsluta
Credits,Crédits,Credits,Créditos,Crediti,Krediter
High Scores,Meilleurs scores,High Scores,High scores,Punteggi migliori,Topplistan
Settings,Options,Einstellungen,Ajustes,Impostazioni,Inställningar
Resume game,Reprendre,Spiel fortsetzen,Reanudar el juego,Riprendi,Återuppta spelet
Retire game,Abandonner,Spiel abbrechen,Retirarse,Abbandona,Dra dig ur spelet
Quit application,Quitter,Programm beenden,Cerrar el juego,Esci dal programma,Avsluta programmet
Save game,Enregistrer la partie,Spiel speichern,Guardar el juego,Salva la partita,Spara spelet
Continue without saving,Continuer sans enregistrer,Fortfahren,Continuar,Continua senza salvare,Fortsätta
Level,Niveau,Level,Level,Livello,Bana
Score,Score,Score,Score,Punteggio,Poäng
EMPTY----------,[Vide],LEER-----------,,Vuoto,
Jan.,janv.,Jan,enero,genn.,jan.
Feb.,févr.,Feb,feb.,febb.,febr.
Mar.,mars,Mar,marzo,mar.,mars
Apr.,avr.,Apr,abr.,apr.,april
May,mai,Mai,mayo,magg.,maj
June,juin,Jun,jun.,giu.,juni
July,juil.,Jul,jul.,lug.,juli
Aug.,août,Aug,agosto,ago.,aug.
Sept.,sept.,Sep,set.,sett.,sept.
Oct.,oct.,Okt,oct.,ott.,okt.
Nov.,nov.,Nov,nov.,nov.,nov.
Dec.,déc.,Dez,dic.,dic.,dec.
Level Cheat,Choisir un niveau,,,Scegli un livello,
Planet Earth: The Bentley Farm,Planète Terre: La ferme des Bentley,,,Pianeta Terra: Fattoria di Bentley,
Planet Snoth: Area J-3110,Planète Snoth: Zone J-3110,,,Pianeta Snoth: Area J-3110,
Planet Snoth: Slime Boss,Planète Snoth: Le boss visqueux,,,Pianeta Snoth: Boss viscido,
Planet Knarr: Yoth City Ruins,Planète Knarr: Ruines de Yoth City,,,Pianeta Knarr: Rovine della città di Yoth,
Planet Rennie: Cloud 9,Planète Rennie: Le 7ème ciel,,,Pianeta Rennie: Settimo cielo,
Planet Sulak: The South Jungle,Planète Sulak: La jungle méridionale,,,Pianeta Sulak: Giungla meridionale,
Planet Sulak: Pitcher Plant Boss,Planète Sulak: La plante carnivore,,,Pianeta Sulak: Boss pianta carnivora,
Planet Deniz: Valley of Fire and Ice,Planète Deniz: La vallée de feu et de glace,,,Pianeta Deniz: Valle del fuoco e del ghiaccio,
Planet Shebanek: POW Camp,Planète Shebanek: Le camp de prisonniers,,,Pianeta Shebanek: Campo dei prigionieri,
Planet X: The Giant Brain,Planète X: Le cerveau géant,,,Pianeta X: Cervello gigante,
Warp to item,Aller à l’objet,,,Teletrasportati in un luogo,
Press [#] to knock open powerup pods,Ouvre la capsule avec [#],"Drücke [#], um Powerup-Behälter zu öffnen",Presione [#] para golpar los powerup pods,Premi [#] per spaccare i bozzoli di ricarica,Öppna upp bonusgömmor genom att trycka på [#]
"To pick up a powerup, press [#]",Ramasse le bonus avec [#],"Drücke [#], um ein Powerup aufzuheben","Para recoger un powerup, presione [#]",Premi [#] raccogliere una ricarica,Ta upp bonusar genom att trycka på [#]
Activate your jump-jet by pressing [#] twice,"Pour te propulser, appuie deux fois sur [#]","Zweimal [#] drücken, um das Jetpack zu aktivieren",Active su jump-jet presionando [#] dos veces,Premi due volte [#] per attivare il salto-jet,Aktivera jethopp genom att trycka två gånger på [#]
Smash through gates by using your jump-jet,Propulse-toi à travers la barrière,"Rasen Sie durch Sperren, indem Sie das Jetpack einsetzen",Navegue a través de las puertas utilizando el jump-jet,Sfonda i cancelli usando il salto-jet,Använd jethopp för att krascha genom dörrar
You need green atoms to use your jump-jet,Trouve des atomes verts pour te propulser,Für die Verwendung des Jetpacks benötigen Sie grüne Atome,Necesitará jumpjet atoms verdes para utilizar su jump-jet,Hai bisogno degli atomi verdi per usare il salto-jet,Du behöver gröna jethoppsatomer för att använda jethopp
Red atoms give you health,Les atomes rouges régénèrent ta santé,Rote Atome bringen Lebensenergie,Los atoms rojos le otorgan salud,Gli atomi rossi offrono forza,Av röda atomer får du hälsa
Green atoms give you jump-jet fuel,Les atomes verts rechargent ton saut propulsé,Grüne Atome bringen Jetpack-Treibstoff,Los atoms verdes le otorgan combustible para su jump-jet,Gli atomi verdi offrono carburante per il salto-jet,Gröna atomer ger dig jethoppsbränsle
Blue atoms are rocket fuel for your space ship,Les atomes bleus sont du carburant pour ta fusée,Blaue Atome sind Raketen-Treibstoff für Ihr Raumschiff,Los atoms azules le otorgan combustible para su nave,Gli atomi blu sono carburante per la tua astronave,Blå atomer är raketbränsle till ditt rymdskepp
Enter the rocket by walking to the ramp,Marche vers la rampe et monte dans la fusée,"Betreten Sie die Rakete, indem Sie auf die Rampe laufen",Para ingresar a la nave camine sobre la rampa,Cammina sulla rampa per entrare nel razzo,Gå in i skeppet genom att gå fram till rampen
Rescue the humans by touching them,Touche un humain pour le sauver,"Retten Sie die Menschen, indem Sie diese berühren",Rescate a los humanos con sólo tocarlos,Tocca un umano per salvarlo,Rädda människor genom att nudda dem
Touch the checkpoint to activate it,Touche le point de contrôle pour l’activer,"Berühren Sie den Kontrollpunkt, um ihn zu aktivieren",Toque los puntos de verificación para activarlos,Tocca un checkpoint per attivarlo,Rör kontrollstationerna för att aktivera dem
Come back here when you have rescued some humans,Reviens ici lorsque tu auras sauvé quelques humains,"Kommen Sie hierher zurück, wenn Sie Menschen gerettet haben",Regrese a este sitio cuando haya rescatado humanos,Ritorna qui dopo avere salvato degli umani,Gå tillbaka hit när du räddat några människor
Press [#] to let go of the magnet,"Pour lâcher l’aimant, appuie sur [#]","Drücke [#], um den Magnet loszulassen",Presione [#] para salir del magneto,Premi [#] per lasciar andare il magnete,Tryck på [#] för att släppa magneten
Beam up the humans with the white beam,Envoie un rayon blanc sur les humains,Beamen Sie die Menschen mit dem weißen Strahl hoch,Levante a los humanos con la barra blanca,Illumina gli umani con il raggio bianco,Teleportera människor med den vita strålen
Each rescued human gives you rocket fuel,Chaque humain sauvé te donne du carburant de fusée,Jeder gerettete Mensch bringt Ihnen Raketen-Treibstoff,Cada humano rescatado le otorga más combustible,Ogni umano salvato rappresenta carburante per il razzo,Varje människa du räddar ger dig raketbränsle
"The saucer is full, take the humans to the rocket ship","La soucoupe est pleine, dépose les humains à la fusée","Die Untertasse ist voll, bringe die Menschen zum Raumschiff","El plato volador está lleno, lleve a los humanos a la nave","Il disco volante è pieno, conduci gli umani sul razzo","Tefatet är fullt, för människorna till rymdskeppet"
Rocket is now fueled.  Press [#] when ready to leave,Le plein est achevé. Appuie sur [#] pour repartir,Rakete ist nun betankt. Zum abfliegen [#] drücken,La nave tiene combustible. Presione [#] cuando esté listo para partir,Il razzo è ora rifornito di carburante. Premi [#] quando sei pronto per partire,Rymdskeppet är tankat. Tryck på [#] när du vill åka
You don’t have enough fuel to leave yet,Pas assez de carburant pour partir,Sie haben nicht genug Treibstoff um schon fortzufliegen,No tiene suficiente combustible para partir,Non hai sufficiente carburante per partire,Än har du inte tillräckligt med bränsle för att åka i väg
Frozen slime balls can be picked up and used as powerups,Les boules gluantes congelées sont des bonus à ramasser,Gefrorene Bälle können als Powerups verwendet werden,Las pelotas congeladas pueden utilizarse como powerups,Raccogli e usa come ricariche le sfere di viscidume ghiacciato,Frusna slembollar kan plockas upp och användas som bonusar
Mechanical devices here need electricity,Ce dispositif mécanique a besoin d’électricité,Diese mechanischen Einrichtungen benötigen Strom,Los dispositivos eléctricos necesitan electricidad en este sitio,I dispositivi meccanici hanno bisogno di elettricità,De mekaniska apparaterna här behöver el för att fungera
Door cannot be activated from this side,La porte ne s’ouvre pas de ce côté,Die Tür kann von dieser Seite aus nicht aktiviert werden,La puerta no puede activarse desde este lugar,Impossibile attivare la porta da questo lato,Dörren kan inte aktiveras från detta hållet
Press [#] to climb into the cannon,Grimpe dans le canon avec [#],"Drücke [#], um in die Kanone zu klettern",Presione [#] para entrar en el cañón,Premi [#] per entrare nel cannone,Tryck på [#] för att gå in i kanonen
Language,Langue,Sprache,Idioma,Lingua,Språk
Video settings,Réglages vidéo,Grafikeinstellungen,Ajustes de vídeo,Impostazioni video,Grafikinställningar
Fullscreen,Plein écran,Bildschirmfüllend,Pantalla completa,Schermo intero,Fullskärm
V-Sync,,,,,
Centered infobar,Centrer barre d’état,HUD zentrieren,HUD centrado,HUD centrato,Centrerat statusfält
Infobar scale,Taille barre d’état,HUD-Maßstab,Tamaño HUD,Dimensione HUD,Statusfältstorlek
Automatic camera,Caméra automatique,Automatische Kamera,Cámara automática,Videocamera auto.,Automatisk kamera
Antialiasing,Anticrénelage,Antialiasing,Antialiasing,Antialiasing,Kantutjämning
MSAA 2x,,,,,
MSAA 4x,,,,,
MSAA 8x,,,,,
Preferred display,Écran préféré,,,Schermo preferito,
Display,Écran,,,Schermo,
The new antialiasing level will take,Le nouveau niveau d’anticrénelage sera,,,Il nuovo livello di antialiasing avrà,
effect when you restart the game.,effectif après un redémarrage du jeu.,,,effetto quanto riavvierai il gioco.,
Anaglyph 3D,3D anaglyphe,,,3D anaglifico,
Player-relative controls,Contrôles relatifs au joueur,Spieler-bezogene Steuerung,Controles relativos al jugador,Controlli relativi al giocatore,Spelarstyrda kontroller
Music,Musique,Musik,Música,Musica,Musik
Keyboard controls,Commandes clavier,Tastatur konfigurieren,Configurar el teclado,Configura la tastiera,Konfigurera tangentbordet
Gamepad controls,Commandes manette,Gamepad konfigurieren,Configurar el mando,Configura il gamepad,Konfigurera handkontrollen
Mouse controls,Commandes souris,Maus konfigurieren,Configurar el ratón,Configura il mouse,Konfigurera musen
"Press [RETURN] to assign a new key, or [X] to clear it","Appuie sur [ENTRÉE] pour réaffecter une touche, ou [X] pour l’effacer",,,"Premi [INVIO] per assegnare un nuovo tasto, oppure [X] per rimuoverlo",
"Press [A] to assign a new button, or [X] to clear it","Appuie sur [A] pour réaffecter un bouton, ou [X] pour l’effacer",,,"Premi [A] per assegnare un nuovo bottone, oppure [X] per rimuoverlo",
"Press a key now, or [ESC] to cancel","Appuie sur la touche de ton choix, ou [ÉCHAP] pour annuler",,,"Premi un tasto ora, oppure [ESC] per annullare",
"Press a button now, or [START] to cancel","Appuie sur le bouton de ton choix, ou [START] pour annuler",,,"Premi un bottone ora, oppure [START] per annullare",
No gamepad detected,Aucune manette détectée,Kein Gamepad erkannt,,Nessun gamepad rilevato,Ingen handkontroll hittades
Rumble,Vibration,Vibration,Vibración,Vibrazione,Vibration
Mouse sensitivity,Sensibilité,Mouse sensitivity,,Sensibilità del mouse,
1/8,,,,,
2/8,,,,,
3/8,,,,,
4/8,,,,,
5/8,,,,,
6/8,,,,,
7/8,,,,,
8/8,,,,,
Mouse motion,Mouvement souris,,,Movimenti del mouse,
Swing camera,La souris contrôle la caméra,,,Orienta videocamera,
Move Otto,La souris déplace Otto,,,Muovi Otto,
OK,OK,OK,OK,OK,OK
« Back,« Retour,« Zurück,« Atrás,« Indietro,« Tillbaka
Yes,Oui,Ja,Sí,Sì,Ja
No,Non,Nein,No,No,Nej
"Yes, monochrome","Oui, monochrome","Ja, Monochrome","Sí, monochrome","Sì, monocromatico","Ja, monochrome"
"Yes, color","Oui, couleur","Ja, Color","Sí, color","Sì, a colori","Ja, färg"
You have toggled Anaglyph 3D mode.,Tu as modifié le mode anaglyphe 3D.,,,Hai modificato la modalità anaglifica 3D.,
Colors will be recalibrated,Les couleurs seront recalibrées,,,I colori verranno ricalibrati quando,
when you start a new level.,lors du prochain niveau.,,,inizierai un nuovo livello.,
Press!,Appuie!,Drück!,,Premi!,Tryck!
Click!,Clique!,,,Fai click!,
Restore default configuration,Restaurer la configuration par défaut,Standardkonfiguration zurücksetzen,,Ripristina la configurazione predefinita,Återställ standardkonfiguration
Left click,Clic gauche,,,Click sinistro,
Middle click,Clic milieu,,,Click centrale,
Right click,Clic droit,,,Click destro,
Button,Bouton,,,Bottone,
Scroll up,Défiler vers le haut,,,Scorri verso l'alto,
Scroll down,Défiler vers le bas,,,Scorri verso il basso,
···,,,,,
Go forward,Avancer,Vorwärts,,Avanti,Gå framåt
Go backwards,Reculer,Rückwärts,,Indietro,Gå bakåt
Go left,Aller à gauche,Nach links,,Sinistra,Gå åt vänster
Go right,Aller à droite,Nach rechts,,Destra,Gå åt höger
Previous weapon,Arme précédente,Vorherige Waffe,,Arma precedente,Föregående vapen
Next weapon,Arme suivante,Nächste Waffe,,Arma successiva,Nästa vapen
Shoot,Tirer,Schießen,,Spara,Skjuta
"Punch, pickup","Frapper, ramasser","Schlagen, aufheben",,"Pugno, raccogli","Slå, plocka upp"
Jump,Sauter,Springen,,Salta,Hoppa
Reset camera,Réinitialiser caméra,Kamera zurück,,Resetta videocamera,Kameraläge
Turn camera left,Pivoter caméra à gauche,Kamera nach links,,Ruota camera a sinistra,Sväng kamera åt vänster
Turn camera right,Pivoter caméra à droite,Kamera nach rechts,,Ruota camera a destra,Sväng kamera åt höger
GAME DESIGN,GAME DESIGN,,,DESIGN DEL GIOCO,
PROGRAMMING,PROGRAMMATION,,,PROGRAMMAZIONE,
ART,GRAPHISME,,,GRAFICA,
MUSIC,MUSIQUE,,,MUSICA,
ADDITIONAL PROGRAMMING,PROG ADDITIONNELLE,,,PROGRAMMAZIONE AGGIUNTIVA,
All humans rescued,Tous les humains sont saufs,Alle Menschen wurden gerettet,,Tutti gli umani sono salvati,Alla människor har räddats
%d humans missing,%d humains manquants,Es fehlen %d Menschen,,%d umani scomparsi,%d människor saknas
1 human missing,1 humain manquant,Es fehlt 1 Mensch,,1 umano scomparso,1 människa saknas
